branch_office|employees_usernames
Tacuba|ahernandez,ffragoso,ivelazquez
Cuautepec|fmejia,isanchez,vmartinez,dortega,larellano,bmejia,lfragoso,jfragoso
Nezahualcóyotl|ecisneros,agallegos
San Lucas|bcadena,cfragoso,mmorales,oquinones,jgonzalez,jquinones,gfragoso,ltovar,calvarado,jgarcia,aquinones
