CLAVE|DESCRIPCION|DESCRIPCION_BUSQUEDA|LINEA|GRABADO|COLOR|LONGITUD|ANCHO|ESPESOR|PRECIO|INVENTARIO
P341|FILIGRANA CRISTAL 1.00*1.80|FILIGRANA CRISTAL 1.00*1.80|PLA|Filigrana|CRISTAL|1.8|1|2.8|350|
P340|FILIGRANA CRISTAL 0.80*1.80|FILIGRANA CRISTAL 0.80*1.80|PLA|Filigrana|CRISTAL|1.8|0.8|2.8|381|
P339|FILIGRANA CRISTAL 0.70*1.80|FILIGRANA CRISTAL 0.70*1.80|PLA|Filigrana|CRISTAL|1.8|0.7|2.8|245|
P335|FILIGRANA BRONCE 1.20*1.80|FILIGRANA BRONCE 1.20*1.80|PLA|Filigrana|BRONCE|1.8|1.2|2.8|420|
P334|FILIGRANA BRONCE 1.00*1.80|FILIGRANA BRONCE 1.00*1.80|PLA|Filigrana|BRONCE|1.8|1|2.8|350|
P333|FILIGRANA BRONCE 0.80*1.80|FILIGRANA BRONCE 0.80*1.80|PLA|Filigrana|BRONCE|1.8|0.8|2.8|381|
P332|FILIGRANA BRONCE 0.70*1.80|FILIGRANA BRONCE 0.70*1.80|PLA|Filigrana|BRONCE|1.8|0.7|2.8|245|
P658|GAVIOTA SALMON 1.20*1.80|GAVIOTA SALMON 1.20*1.80|PLA|Gaviota|SALMON|2|1|2.8|388|
P657|GAVIOTA SALMON 1.00*1.80|GAVIOTA SALMON 1.00*1.80|PLA|Gaviota|SALMON|1.8|1|2.8|350|
P656|GAVIOTA SALMON 80*180|GAVIOTA SALMON 80*180|PLA|Gaviota|SALMON|1.8|0.8|2.8|381|
P655|GAVIOTA SALMON 70*180|GAVIOTA SALMON 70*180|PLA|Gaviota|SALMON|1.8|0.7|2.8|245|
P146|GAVIOTA VERDE PASTEL 1.20*1.80|GAVIOTA VERDE PASTEL 1.20*1.80|PLA|Gaviota|VERDE PASTEL|1.8|1.2|2.8|420|
P145|GAVIOTA VERDE PASTEL 1.00*1.80|GAVIOTA VERDE PASTEL 1.00*1.80|PLA|Gaviota|VERDE PASTEL|1.8|1|2.8|350|
P144|GAVIOTA VERDE PASTEL 0.80*1.80|GAVIOTA VERDE PASTEL 0.80*1.80|PLA|Gaviota|VERDE PASTEL|1.8|0.8|2.8|381|
P143|GAVIOTA VERDE PASTEL 0.70*1.80|GAVIOTA VERDE PASTEL 0.70*1.80|PLA|Gaviota|VERDE PASTEL|1.8|0.7|2.8|245|
P132|GAVIOTA AZUL 1.20*1.80|GAVIOTA AZUL 1.20*1.80|PLA|Gaviota|AZUL|1.8|1.2|2.8|420|
P131|GAVIOTA AZUL 1.00*1.80|GAVIOTA AZUL 1.00*1.80|PLA|Gaviota|AZUL|1.8|1|2.8|350|
P130|GAVIOTA AZUL 0.80*1.80|GAVIOTA AZUL 0.80*1.80|PLA|Gaviota|AZUL|1.8|0.8|2.8|381|
P129|GAVIOTA AZUL 0.70*1.80|GAVIOTA AZUL 0.70*1.80|PLA|Gaviota|AZUL|1.8|0.7|2.8|245|
P125|GAVIOTA HUMO 1.20*1.80|GAVIOTA HUMO 1.20*1.80|PLA|Gaviota|HUMO|1.8|1.2|2.8|420|
P124|GAVIOTA HUMO 1.00*1.80|GAVIOTA HUMO 1.00*1.80|PLA|Gaviota|HUMO|1.8|1|2.8|350|
P123|GAVIOTA HUMO 0.80*1.80|GAVIOTA HUMO 0.80*1.80|PLA|Gaviota|HUMO|1.8|0.8|2.8|381|
P122|GAVIOTA HUMO .70*1.80|GAVIOTA HUMO .70*1.80|PLA|Gaviota|HUMO|1.8|0.7|2.8|245|
P118|GAVIOTA OPALINO 1.20*1.80|GAVIOTA OPALINO 1.20*1.80|PLA|Gaviota|BLANCO|1.8|1.2|2.8|420|
P117|GAVIOTA OPALINO 1.00*1.80|GAVIOTA OPALINO 1.00*1.80|PLA|Gaviota|BLANCO|1.8|1|2.8|350|
P116|GAVIOTA OPALINO 0.80*1.80|GAVIOTA OPALINO 0.80*1.80|PLA|Gaviota|BLANCO|1.8|0.8|2.8|381|
P115|GAVIOTA OPALINO 0.70*1.80|GAVIOTA OPALINO 0.70*1.80|PLA|Gaviota|BLANCO|1.8|0.7|2.8|245|
P111|GAVIOTA CRISTAL 1.20*1.80|GAVIOTA CRISTAL 1.20*1.80|PLA|Gaviota|CRISTAL|1.8|1.2|2.8|420|
P110|GAVIOTA CRISTAL 1.00*1.80|GAVIOTA CRISTAL 1.00*1.80|PLA|Gaviota|CRISTAL|1.8|1|2.8|350|
P109|GAVIOTA CRISTAL 0.80*1.80|GAVIOTA CRISTAL 0.80*1.80|PLA|Gaviota|CRISTAL|1.8|0.8|2.8|381|
P108|GAVIOTA CRISTAL 0.70*1.80|GAVIOTA CRISTAL 0.70*1.80|PLA|Gaviota|CRISTAL|1.8|0.7|2.8|245|
P104|GAVIOTA BRONCE 1.20*1.80|GAVIOTA BRONCE 1.20*1.80|PLA|Gaviota|BRONCE|1.8|1.2|2.8|420|
P103|GAVIOTA BRONCE 1.00*1.80|GAVIOTA BRONCE 1.00*1.80|PLA|Gaviota|BRONCE|1.8|1|2.8|350|
P102|GAVIOTA BRONCE 0.80*1.80|GAVIOTA BRONCE 0.80*1.80|PLA|Gaviota|BRONCE|1.8|0.8|2.8|381|
P101|GAVIOTA BRONCE 0.70*1.80|GAVIOTA BRONCE 0.70*1.80|PLA|Gaviota|BRONCE|1.8|0.7|2.8|245|
P216|GLACIAL HUMO 1.20*1.80|GLACIAL HUMO 1.20*1.80|PLA|Glacial|HUMO|1.8|1.2|2.8|420|
P215|GLACIAL HUMO 1.00*1.80|GLACIAL HUMO 1.00*1.80|PLA|Glacial|HUMO|1.8|1|2.8|350|
P214|GLACIAL HUMO 0.80*1.80|GLACIAL HUMO 0.80*1.80|PLA|Glacial|HUMO|1.8|0.8|2.8|381|
P213|GLACIAL HUMO 0.70*1.80|GLACIAL HUMO 0.70*1.80|PLA|Glacial|HUMO|1.8|0.7|2.8|245|
P209|GLACIAL CRISTAL 1.20*1.80|GLACIAL CRISTAL 1.20*1.80|PLA|Glacial|CRISTAL|1.8|1.2|2.8|420|
P208|GLACIAL CRISTAL 1.00*1.80|GLACIAL CRISTAL 1.00*1.80|PLA|Glacial|CRISTAL|1.8|1|2.8|350|
P207|GLACIAL CRISTAL 0.80*1.80|GLACIAL CRISTAL 0.80*1.80|PLA|Glacial|CRISTAL|1.8|0.8|2.8|381|
P206|GLACIAL CRISTAL 0.70*1.80|GLACIAL CRISTAL 0.70*1.80|PLA|Glacial|CRISTAL|1.8|0.7|2.8|245|
P181|LLUVIA AZUL 1.20*1.80|LLUVIA AZUL 1.20*1.80|PLA|Lluvia|AZUL|1.8|1.2|2.8|420|
P180|LLUVIA AZUL 1.00*1.80|LLUVIA AZUL 1.00*1.80|PLA|Lluvia|AZUL|1.8|1|2.8|350|
P179|LLUVIA AZUL 0.80*1.80|LLUVIA AZUL 0.80*1.80|PLA|Lluvia|AZUL|1.8|0.8|2.8|381|
P178|LLUVIA AZUL 0.70*1.80|LLUVIA AZUL 0.70*1.80|PLA|Lluvia|AZUL|1.8|0.7|2.8|245|
P174|LLUVIA HUMO 1.20*1.80|LLUVIA HUMO 1.20*1.80|PLA|Lluvia|HUMO|1.8|1.2|2.8|420|
P173|LLUVIA HUMO 1.00*1.80|LLUVIA HUMO 1.00*1.80|PLA|Lluvia|HUMO|1.8|1|2.8|350|
P172|LLUVIA HUMO 0.80*1.80|LLUVIA HUMO 0.80*1.80|PLA|Lluvia|HUMO|1.8|0.8|2.8|381|
P171|LLUVIA HUMO 0.70*1.80|LLUVIA HUMO 0.70*1.80|PLA|Lluvia|HUMO|1.8|0.7|2.8|245|
P167|LLUVIA OPALINO 1.20*1.80|LLUVIA OPALINO 1.20*1.80|PLA|Lluvia|BLANCO|1.8|1.2|2.8|420|
P166|LLUVIA OPALINO 1.00*1.80|LLUVIA OPALINO 1.00*1.80|PLA|Lluvia|BLANCO|1.8|1|2.8|350|
P165|LLUVIA OPALINO 0.80*1.80|LLUVIA OPALINO 0.80*1.80|PLA|Lluvia|BLANCO|1.8|0.8|2.8|381|
P164|LLUVIA OPALINO 0.70*1.80|LLUVIA OPALINO 0.70*1.80|PLA|Lluvia|BLANCO|1.8|0.7|2.8|245|
P160|LLUVIA CRISTAL 1.20*1.80|LLUVIA CRISTAL 1.20*1.80|PLA|Lluvia|CRISTAL|1.8|1.2|2.8|420|
P159|LLUVIA CRISTAL 1.00*1.80|LLUVIA CRISTAL 1.00*1.80|PLA|Lluvia|CRISTAL|1.8|1|2.8|350|
P158|LLUVIA CRISTAL 0.80*1.80|LLUVIA CRISTAL 0.80*1.80|PLA|Lluvia|CRISTAL|1.8|0.8|2.8|381|
P157|LLUVIA CRISTAL 0.70*1.80|LLUVIA CRISTAL 0.70*1.80|PLA|Lluvia|CRISTAL|1.8|0.7|2.8|245|
P153|LLUVIA BRONCE 1.20*1.80|LLUVIA BRONCE 1.20*1.80|PLA|Lluvia|BRONCE|1.8|1.2|2.8|420|
P152|LLUVIA BRONCE 1.00*1.80|LLUVIA BRONCE 1.00*1.80|PLA|Lluvia|BRONCE|1.8|1|2.8|350|
P151|LLUVIA BRONCE 0.80*1.80|LLUVIA BRONCE 0.80*1.80|PLA|Lluvia|BRONCE|1.8|0.8|2.8|381|
P150|LLUVIA BRONCE 0.70*1.80|LLUVIA BRONCE 0.70*1.80|PLA|Lluvia|BRONCE|1.8|0.7|2.8|245|
P328|MORISCO AMBAR 1.20*1.80|MORISCO AMBAR 1.20*1.80|PLA|Morisco|AMBAR|1.8|1.2|2.8|420|
P327|MORISCO AMBAR 1.00*1.80|MORISCO AMBAR 1.00*1.80|PLA|Morisco|AMBAR|1.8|1|2.8|350|
P326|MORISCO AMBAR 0.80*1.80|MORISCO AMBAR 0.80*1.80|PLA|Morisco|AMBAR|1.8|0.8|2.8|381|
P325|MORISCO AMBAR 0.70*1.80|MORISCO AMBAR 0.70*1.80|PLA|Morisco|AMBAR|1.8|0.7|2.8|245|
P321|MORISCO AZUL 1.20*1.80|MORISCO AZUL 1.20*1.80|PLA|Morisco|AZUL|1.8|1.2|2.8|420|
P320|MORISCO AZUL 1.00*1.80|MORISCO AZUL 1.00*1.80|PLA|Morisco|AZUL|1.8|1|2.8|350|
P319|MORISCO AZUL 0.80*1.80|MORISCO AZUL 0.80*1.80|PLA|Morisco|AZUL|1.8|0.8|2.8|381|
P318|MORISCO AZUL 0.70*1.80|MORISCO AZUL 0.70*1.80|PLA|Morisco|AZUL|1.8|0.7|2.8|245|
P314|MORISCO HUMO 1.20*1.80|MORISCO HUMO 1.20*1.80|PLA|Morisco|HUMO|1.8|1.2|2.8|420|
P313|MORISCO HUMO 1.00*1.80|MORISCO HUMO 1.00*1.80|PLA|Morisco|HUMO|1.8|1|2.8|350|
P312|MORISCO HUMO 0.80*1.80|MORISCO HUMO 0.80*1.80|PLA|Morisco|HUMO|1.8|0.8|2.8|381|
P311|MORISCO HUMO 0.70*1.80|MORISCO HUMO 0.70*1.80|PLA|Morisco|HUMO|1.8|0.7|2.8|245|
P307|MORISCO OPALINO 1.20*1.80|MORISCO OPALINO 1.20*1.80|PLA|Morisco|BLANCO|1.8|1.2|2.8|420|
P306|MORISCO OPALINO 1.00*1.80|MORISCO OPALINO 1.00*1.80|PLA|Morisco|BLANCO|1.8|1|2.8|350|
P305|MORISCO OPALINO 0.80*1.80|MORISCO OPALINO 0.80*1.80|PLA|Morisco|BLANCO|1.8|0.8|2.8|381|
P304|MORISCO OPALINO 0.70*1.80|MORISCO OPALINO 0.70*1.80|PLA|Morisco|BLANCO|1.8|0.7|2.8|245|
P300|MORISCO CRISTAL 1.20*1.80|MORISCO CRISTAL 1.20*1.80|PLA|Morisco|CRISTAL|1.8|1.2|2.8|420|
P299|MORISCO CRISTAL 1.00*1.80|MORISCO CRISTAL 1.00*1.80|PLA|Morisco|CRISTAL|1.8|1|2.8|350|
P298|MORISCO CRISTAL 0.80*1.80|MORISCO CRISTAL 0.80*1.80|PLA|Morisco|CRISTAL|1.8|0.8|2.8|381|
P297|MORISCO CRISTAL 0.70*1.80|MORISCO CRISTAL 0.70*1.80|PLA|Morisco|CRISTAL|1.8|0.7|2.8|245|
P615|MOSAICO AZUL 120*180|MOSAICO AZUL 120*180|PLA|Mosaico|AZUL|1.8|1.2|2.8|420|
P614|MOSAICO AZUL 100*180|MOSAICO AZUL 100*180|PLA|Mosaico|AZUL|1.8|1|2.8|350|
P613|MOSAICO AZUL 80*180|MOSAICO AZUL 80*180|PLA|Mosaico|AZUL|1.8|0.8|2.8|381|
P612|MOSAICO AZUL 70*180|MOSAICO AZUL 70*180|PLA|Mosaico|AZUL|1.8|0.7|2.8|245|
P608|MOSAICO VERDE 1.20*1.80|MOSAICO VERDE 1.20*1.80|PLA|Mosaico|VERDE|1.8|1.2|2.8|420|
P607|MOSAICO VERDE 1.00*1.80|MOSAICO VERDE 1.00*1.80|PLA|Mosaico|VERDE|1.8|1|2.8|350|
P606|MOSAICO VERDE 0.80*1.80|MOSAICO VERDE 0.80*1.80|PLA|Mosaico|VERDE|1.8|0.8|2.8|381|
P605|MOSAICO VERDE 0.70*1.80|MOSAICO VERDE 0.70*1.80|PLA|Mosaico|VERDE|1.8|0.7|2.8|245|
P601|MOSAICO HUMO 1.20*1.80|MOSAICO HUMO 1.20*1.80|PLA|Mosaico|HUMO|1.8|1.2|2.8|420|
P600|MOSAICO HUMO 1.00*1.80|MOSAICO HUMO 1.00*1.80|PLA|Mosaico|HUMO|1.8|1|2.8|350|
P599|MOSAICO HUMO 0.80*1.80|MOSAICO HUMO 0.80*1.80|PLA|Mosaico|HUMO|1.8|0.8|2.8|381|
P598|MOSAICO HUMO 0.70*1.80|MOSAICO HUMO 0.70*1.80|PLA|Mosaico|HUMO|1.8|0.7|2.8|245|
P594|MOSAICO CRISTAL 1.20*1.80|MOSAICO CRISTAL 1.20*1.80|PLA|Mosaico|CRISTAL|1.8|1.2|2.8|420|
P593|MOSAICO CRISTAL 1.00*1.80|MOSAICO CRISTAL 1.00*1.80|PLA|Mosaico|CRISTAL|1.8|1|2.8|350|
P592|MOSAICO CRISTAL 0.80*1.80|MOSAICO CRISTAL 0.80*1.80|PLA|Mosaico|CRISTAL|1.8|0.8|2.8|381|
P591|MOSAICO CRISTAL 0.70*1.80|MOSAICO CRISTAL 0.70*1.80|PLA|Mosaico|CRISTAL|1.8|0.7|2.8|245|
P461|MUSGO AZUL 1.20*1.80|MUSGO AZUL 1.20*1.80|PLA|Musgo|AZUL|1.8|1.2|2.8|420|
P460|MUSGO AZUL 1.00*1.80|MUSGO AZUL 1.00*1.80|PLA|Musgo|AZUL|1.8|1|2.8|350|
P459|MUSGO AZUL 0.80*1.80|MUSGO AZUL 0.80*1.80|PLA|Musgo|AZUL|1.8|0.8|2.8|381|
P458|MUSGO AZUL 0.70*1.80|MUSGO AZUL 0.70*1.80|PLA|Musgo|AZUL|1.8|0.7|2.8|245|
P454|MUSGO HUMO 1.20*1.80|MUSGO HUMO 1.20*1.80|PLA|Musgo|HUMO|1.8|1.2|2.8|420|
P453|MUSGO HUMO 1.00*1.80|MUSGO HUMO 1.00*1.80|PLA|Musgo|HUMO|1.8|1|2.8|350|
P452|MUSGO HUMO 0.80*1.80|MUSGO HUMO 0.80*1.80|PLA|Musgo|HUMO|1.8|0.8|2.8|381|
P451|MUSGO HUMO 0.70*1.80|MUSGO HUMO 0.70*1.80|PLA|Musgo|HUMO|1.8|0.7|2.8|245|
P447|MUSGO OPALINO 1.20*1.80|MUSGO OPALINO 1.20*1.80|PLA|Musgo|BLANCO|1.8|1.2|2.8|420|
P446|MUSGO OPALINO 1.00*1.80|MUSGO OPALINO 1.00*1.80|PLA|Musgo|BLANCO|1.8|1|2.8|350|
P445|MUSGO OPALINO 0.80*1.80|MUSGO OPALINO 0.80*1.80|PLA|Musgo|BLANCO|1.8|0.8|2.8|381|
P444|MUSGO OPALINO 0.70*1.80|MUSGO OPALINO 0.70*1.80|PLA|Musgo|BLANCO|1.8|0.7|2.8|245|
P440|MUSGO CRISTAL 1.20*1.80|MUSGO CRISTAL 1.20*1.80|PLA|Musgo|CRISTAL|1.8|1.2|2.8|420|
P439|MUSGO CRISTAL 1.00*1.80|MUSGO CRISTAL 1.00*1.80|PLA|Musgo|CRISTAL|1.8|1|2.8|350|
P438|MUSGO CRISTAL 0.80*1.80|MUSGO CRISTAL 0.80*1.80|PLA|Musgo|CRISTAL|1.8|0.8|2.8|381|
P437|MUSGO CRISTAL 0.70*1.80|MUSGO CRISTAL 0.70*1.80|PLA|Musgo|CRISTAL|1.8|0.7|2.8|245|
P97|OLIVO VERDE AGUA 1.20*1.80|OLIVO VERDE AGUA 1.20*1.80|PLA|Olivo|VERDE AGUA|1.8|1.2|2.8|420|
P96|OLIVO VERDE AGUA 1.00*1.80|OLIVO VERDE AGUA 1.00*1.80|PLA|Olivo|VERDE AGUA|1.8|1|2.8|350|
P95|OLIVO VERDE AGUA 0.80*1.80|OLIVO VERDE AGUA 0.80*1.80|PLA|Olivo|VERDE AGUA|1.8|0.8|2.8|381|
P94|OLIVO VERDE AGUA 0.70*1.80|OLIVO VERDE AGUA 0.70*1.80|PLA|Olivo|VERDE AGUA|1.8|0.7|2.8|245|
P90|OLIVO ROSA PASTEL 1.20*1.80|OLIVO ROSA PASTEL 1.20*1.80|PLA|Olivo|ROSA PASTEL|1.8|1.2|2.8|420|
P89|OLIVO ROSA PASTEL 1.00*1.80|OLIVO ROSA PASTEL 1.00*1.80|PLA|Olivo|ROSA PASTEL|1.8|1|2.8|350|
P88|OLIVO ROSA PASTEL 0.80*1.80|OLIVO ROSA PASTEL 0.80*1.80|PLA|Olivo|ROSA PASTEL|1.8|0.8|2.8|381|
P87|OLIVO ROSA PASTEL 0.70*1.80|OLIVO ROSA PASTEL 0.70*1.80|PLA|Olivo|ROSA PASTEL|1.8|0.7|2.8|245|
P83|OLIVO AZUL PASTEL 1.20*1.80|OLIVO AZUL PASTEL 1.20*1.80|PLA|Olivo|AZUL PASTEL|1.8|1.2|2.8|420|
P82|OLIVO AZUL PASTEL 1.00*1.80|OLIVO AZUL PASTEL 1.00*1.80|PLA|Olivo|AZUL PASTEL|1.8|1|2.8|350|
P81|OLIVO AZUL PASTEL 0.80*1.80|OLIVO AZUL PASTEL 0.80*1.80|PLA|Olivo|AZUL PASTEL|1.8|0.8|2.8|381|
P80|OLIVO AZUL PASTEL 0.70*1.80|OLIVO AZUL PASTEL 0.70*1.80|PLA|Olivo|AZUL PASTEL|1.8|0.7|2.8|245|
P76|OLIVO DURAZNO 1.20*1.80|OLIVO DURAZNO 1.20*1.80|PLA|Olivo|DURAZNO|1.8|1.2|2.8|420|
P75|OLIVO DURAZNO 1.00*1.80|OLIVO DURAZNO 1.00*1.80|PLA|Olivo|DURAZNO|1.8|1|2.8|350|
P74|OLIVO DURAZNO 0.80*1.80|OLIVO DURAZNO 0.80*1.80|PLA|Olivo|DURAZNO|1.8|0.8|2.8|381|
P73|OLIVO DURAZNO 0.70*1.80|OLIVO DURAZNO 0.70*1.80|PLA|Olivo|DURAZNO|1.8|0.7|2.8|245|
P48|OLIVO OPALINO 1.20*1.80|OLIVO OPALINO 1.20*1.80|PLA|Olivo|BLANCO|1.8|1.2|2.8|420|
P47|OLIVO OPALINO 1.00*1.80|OLIVO OPALINO 1.00*1.80|PLA|Olivo|BLANCO|1.8|1|2.8|350|
P46|OLIVO OPALINO 0.80*1.80|OLIVO OPALINO 0.80*1.80|PLA|Olivo|BLANCO|1.8|0.8|2.8|381|
P45|OLIVO OPALINO 0.70*1.80|OLIVO OPALINO 0.70*1.80|PLA|Olivo|BLANCO|1.8|0.7|2.8|245|
P261|OPALEN BLANCO 1.20*2.50|OPALEN BLANCO 1.20*2.50|PLA|Opalen|BLANCO|2.5|1.2|2.8|583|
P260|OPALEN BLANCO 1.20*2.20|OPALEN BLANCO 1.20*2.20|PLA|Opalen|BLANCO|2.2|1.2|2.8|514|
P259|OPALEN BLANCO 1.00*2.00|OPALEN BLANCO 1.00*2.00|PLA|Opalen|BLANCO|2|1|2.8|388|
P258|OPALEN BLANCO 1.20*1.80|OPALEN BLANCO 1.20*1.80|PLA|Opalen|BLANCO|1.8|1.2|2.8|420|
P257|OPALEN BLANCO 1.00*1.80|OPALEN BLANCO 1.00*1.80|PLA|Opalen|BLANCO|1.8|1|2.8|350|
P256|OPALEN BLANCO 0.80*1.80|OPALEN BLANCO 0.80*1.80|PLA|Opalen|BLANCO|1.8|0.8|2.8|381|
P255|OPALEN BLANCO 0.70*1.80|OPALEN BLANCO 0.70*1.80|PLA|Opalen|BLANCO|1.8|0.7|2.8|245|
P630|QUAZAR SALMON .70*1.80|QUAZAR SALMON .70*1.80|PLA|Quazar|SALMON|1.8|0.7|2.8|245|
P629|QUAZAR SALMON .80*1.80|QUAZAR SALMON .80*1.80|PLA|Quazar|SALMON|1.8|0.8|2.8|381|
P628|QUAZAR SALMON 1.00*1.80|QUAZAR SALMON 1.00*1.80|PLA|Quazar|SALMON|1.8|1|2.8|350|
P627|QUAZAR SALMON  1.20*1.80|QUAZAR SALMON  1.20*1.80|PLA|Quazar|SALMON|1.8|1.2|2.8|420|
P426|QUAZAR VERDE AGUA 1.20*1.80|QUAZAR VERDE AGUA 1.20*1.80|PLA|Quazar|VERDE AGUA|1.8|1.2|2.8|420|
P425|QUAZAR VERDE AGUA 1.00*1.80|QUAZAR VERDE AGUA 1.00*1.80|PLA|Quazar|VERDE AGUA|1.8|1|2.8|350|
P424|QUAZAR VERDE AGUA 0.80*1.80|QUAZAR VERDE AGUA 0.80*1.80|PLA|Quazar|VERDE AGUA|1.8|0.8|2.8|381|
P423|QUAZAR VERDE AGUA 0.70*1.80|QUAZAR VERDE AGUA 0.70*1.80|PLA|Quazar|VERDE AGUA|1.8|0.7|2.8|245|
P419|QUAZAR AMBAR 1.20*1.80|QUAZAR AMBAR 1.20*1.80|PLA|Quazar|AMBAR|1.8|1.2|2.8|420|
P418|QUAZAR AMBAR 1.00*1.80|QUAZAR AMBAR 1.00*1.80|PLA|Quazar|AMBAR|1.8|1|2.8|350|
P417|QUAZAR AMBAR 0.80*1.80|QUAZAR AMBAR 0.80*1.80|PLA|Quazar|AMBAR|1.8|0.8|2.8|381|
P416|QUAZAR AMBAR 0.70*1.80|QUAZAR AMBAR 0.70*1.80|PLA|Quazar|AMBAR|1.8|0.7|2.8|245|
P412|QUAZAR AZUL 1.20*1.80|QUAZAR AZUL 1.20*1.80|PLA|Quazar|AZUL|1.8|1.2|2.8|420|
P411|QUAZAR AZUL 1.00*1.80|QUAZAR AZUL 1.00*1.80|PLA|Quazar|AZUL|1.8|1|2.8|350|
P410|QUAZAR AZUL 0.80*1.80|QUAZAR AZUL 0.80*1.80|PLA|Quazar|AZUL|1.8|0.8|2.8|381|
P409|QUAZAR AZUL 0.70*1.80|QUAZAR AZUL 0.70*1.80|PLA|Quazar|AZUL|1.8|0.7|2.8|245|
P405|QUAZAR HUMO 1.20*1.80|QUAZAR HUMO 1.20*1.80|PLA|Quazar|HUMO|1.8|1.2|2.8|420|
P404|QUAZAR HUMO 1.00*1.80|QUAZAR HUMO 1.00*1.80|PLA|Quazar|HUMO|1.8|1|2.8|350|
P403|QUAZAR HUMO 0.80*1.80|QUAZAR HUMO 0.80*1.80|PLA|Quazar|HUMO|1.8|0.8|2.8|381|
P402|QUAZAR HUMO 0.70*1.80|QUAZAR HUMO 0.70*1.80|PLA|Quazar|HUMO|1.8|0.7|2.8|245|
P398|QUAZAR OPALINO 1.20*1.80|QUAZAR OPALINO 1.20*1.80|PLA|Quazar|BLANCO|1.8|1.2|2.8|420|
P397|QUAZAR OPALINO 1.00*1.80|QUAZAR OPALINO 1.00*1.80|PLA|Quazar|BLANCO|1.8|1|2.8|350|
P396|QUAZAR OPALINO 0.80*1.80|QUAZAR OPALINO 0.80*1.80|PLA|Quazar|BLANCO|1.8|0.8|2.8|381|
P395|QUAZAR OPALINO 0.70*1.80|QUAZAR OPALINO 0.70*1.80|PLA|Quazar|BLANCO|1.8|0.7|2.8|245|
P391|QUAZAR CRISTAL 1.20*1.80|QUAZAR CRISTAL 1.20*1.80|PLA|Quazar|CRISTAL|1.8|1.2|2.8|420|
P390|QUAZAR CRISTAL 1.00*1.80|QUAZAR CRISTAL 1.00*1.80|PLA|Quazar|CRISTAL|1.8|1|2.8|350|
P389|QUAZAR CRISTAL 0.80*1.80|QUAZAR CRISTAL 0.80*1.80|PLA|Quazar|CRISTAL|1.8|0.8|2.8|381|
P388|QUAZAR CRISTAL 0.70*1.80|QUAZAR CRISTAL 0.70*1.80|PLA|Quazar|CRISTAL|1.8|0.7|2.8|245|
P384|QUAZAR BRONCE 1.20*1.80|QUAZAR BRONCE 1.20*1.80|PLA|Quazar|BRONCE|1.8|1.2|2.8|420|
P383|QUAZAR BRONCE 1.00*1.80|QUAZAR BRONCE 1.00*1.80|PLA|Quazar|BRONCE|1.8|1|2.8|350|
P382|QUAZAR BRONCE 0.80*1.80|QUAZAR BRONCE 0.80*1.80|PLA|Quazar|BRONCE|1.8|0.8|2.8|381|
P381|QUAZAR BRONCE 0.70*1.80|QUAZAR BRONCE 0.70*1.80|PLA|Quazar|BRONCE|1.8|0.7|2.8|245|
P251|TAPIZ HUMO 1.20*1.80|TAPIZ HUMO 1.20*1.80|PLA|Tapiz|HUMO|1.8|1.2|2.8|420|
P250|TAPIZ HUMO 1.00*1.80|TAPIZ HUMO 1.00*1.80|PLA|Tapiz|HUMO|1.8|1|2.8|350|
P249|TAPIZ HUMO 0.80*1.80|TAPIZ HUMO 0.80*1.80|PLA|Tapiz|HUMO|1.8|0.8|2.8|381|
P248|TAPIZ HUMO 0.70*1.80|TAPIZ HUMO 0.70*1.80|PLA|Tapiz|HUMO|1.8|0.7|2.8|245|
P244|TAPIZ CRISTAL 1.20*1.80|TAPIZ CRISTAL 1.20*1.80|PLA|Tapiz|CRISTAL|1.8|1.2|2.8|420|
P243|TAPIZ CRISTAL 1.00*1.80|TAPIZ CRISTAL 1.00*1.80|PLA|Tapiz|CRISTAL|1.8|1|2.8|350|
P242|TAPIZ CRISTAL 0.80*1.80|TAPIZ CRISTAL 0.80*1.80|PLA|Tapiz|CRISTAL|1.8|0.8|2.8|381|
P241|TAPIZ CRISTAL 0.70*1.80|TAPIZ CRISTAL 0.70*1.80|PLA|Tapiz|CRISTAL|1.8|0.7|2.8|245|
P230|TIKAL HUMO 1.20*1.80|TIKAL HUMO 1.20*1.80|PLA|Tikal|HUMO|1.8|1.2|2.8|420|
P229|TIKAL HUMO 1.00*1.80|TIKAL HUMO 1.00*1.80|PLA|Tikal|HUMO|1.8|1|2.8|350|
P228|TIKAL HUMO 0.80*1.80|TIKAL HUMO 0.80*1.80|PLA|Tikal|HUMO|1.8|0.8|2.8|381|
P227|TIKAL HUMO 0.70*1.80|TIKAL HUMO 0.70*1.80|PLA|Tikal|HUMO|1.8|0.7|2.8|245|
P223|TIKAL CRISTAL 1.20*1.80|TIKAL CRISTAL 1.20*1.80|PLA|Tikal|CRISTAL|1.8|1.2|2.8|420|
P222|TIKAL CRISTAL 1.00*1.80|TIKAL CRISTAL 1.00*1.80|PLA|Tikal|CRISTAL|1.8|1|2.8|350|
P221|TIKAL CRISTAL 0.80*1.80|TIKAL CRISTAL 0.80*1.80|PLA|Tikal|CRISTAL|1.8|0.8|2.8|381|
P220|TIKAL CRISTAL 0.70*1.80|TIKAL CRISTAL 0.70*1.80|PLA|Tikal|CRISTAL|1.8|0.7|2.8|245|
B12|BURBUJA  1.20*1.20 COLOR Z01|BURBUJA 120X120 Z01|DOM|BURBUJA|Z01|1.2|1.2|3|954.00|
