CLAVE|DESCRIPCION|DESCRIPCION_BUSQUEDA|LINEA|GRABADO|COLOR|LONGITUD|ANCHO|ESPESOR|PRECIO|INVENTARIO
UPC6|PERFIL(S) U 3.66 CRISTAL 6.0MM|PERFIL U 366 CRISTAL 6MM|PERFIL |LISO|CRISTAL|3.66|0.1|6|110|
UPC8|PERFIL(S) U 3.66 CRISTAL 8.0MM|PERFIL U 366 CRISTAL 8MM|PERFIL |LISO|CRISTAL|3.66|0.1|8|110|
UPOP6|PERFIL(S) U 3.66 BLANCO 6.0MM|PERFIL U 366 BLANCO 6MM|PERFIL |LISO|BLANCO|3.66|0.1|6|110|
UPOP8|PERFIL(S) U 3.66 BLANCO 8.0MM|PERFIL U 366 BLANCO 8MM|PERFIL |LISO|BLANCO|3.66|0.1|8|110|
Z011|ACRILICO(S) 1.20*1.80 Z01 3.0MM|ACRILICO 120X180 Z01 3MM|ACR|LISO|Z01|1.8|1.2|3|790|
Z0114|ACRILICO(S) 1.20*1.80 Z01 4.0MM|ACRILICO 120X180 Z01 4MM|ACR|LISO|Z01|1.8|1.2|4|1030|
Z0115|ACRILICO(S) 1.20*1.80 Z01 5.0MM|ACRILICO 120X180 Z01 5MM|ACR|LISO|Z01|1.8|1.2|5|1265|
Z0116|ACRILICO(S) 1.20*1.80 Z01 6.0MM|ACRILICO 120X180 Z01 6MM|ACR|LISO|Z01|1.8|1.2|6|1530|
Z011I|ACRILICO(S) 1.20*1.80 Z01 A.I. 3.0MM|ACRILICO IMPACTA 120X180 Z01 3MM |ACRIMP|LISO|Z01|1.8|1.2|3|910|
Z012|ACRILICO(S) 1.20*2.40 Z01 3.0MM|ACRILICO 120X240 Z01 3MM|ACR|LISO|Z01|2.4|1.2|3|1060|
Z012.5I|ACRILICO(S) 1.20*1.80 Z01 2.5MM|ACRILICO 120X240 Z01 2MM|ACR|LISO|Z01|1.8|1.2|2.5|710|
Z01212|ACRILICO(S) 1.20*2.40 Z01 12.0MM|ACRILICO 120X240 Z01 12MM|ACR|LISO|Z01|2.4|1.2|12|4480|
Z0124|ACRILICO(S) 1.20*2.40 Z01 4.0MM|ACRILICO 120X240 Z01 4MM|ACR|LISO|Z01|2.4|1.2|4|1370|
Z0125|ACRILICO(S) 1.20*2.40 Z01 5.0MM|ACRILICO 120X240 Z01 5MM|ACR|LISO|Z01|2.4|1.2|5|1690|
