name|description
Administrador|Administrador de área.
Ventas|Encargado de realizar ventas de productos.
Ventas en campo|Encargado de realizar ventas en el campo.
Agente de ventas|Encargado de generar nuevos clientes.
Instalador|Instalación del producto en las obras.
Chofer|Conducción de vehículos.
Productor de domos|Encargado de la manufactura de domos.
Jefe de almacén|Supervisor de uno o varios almacenes.
