group|employees_usernames
Administrador|ffragoso,isanchez,ecisneros,cfragoso,bcadena,jquinones,gfragoso,lfragoso,jfragoso,ltovar
Ventas|ahernandez,ffragoso,ivelazquez,fmejia,dortega,ecisneros,larellano,bmejia,lfragoso,jfragoso,agallegos
Ventas en campo|
Agente de ventas|fmejia,lfragoso,jfragoso,aquinones
Instalador|mmorales,oquinones,jgonzalez,jquinones,lfragoso,jfragoso,ltovar,calvarado,jgarcia,aquinones
Chofer|fmejia,isanchez,vmartinez,ecisneros,mmorales,oquinones,lfragoso,jfragoso,calvarado,aquinones
Productor de domos|bcadena,mmorales,oquinones,jgonzalez,jquinones,lfragoso,jfragoso,ltovar,calvarado,jgarcia,aquinones,cfragoso
Jefe de almacén|ahernandez,ivelazquez,dortega,ecisneros,larellano,bcadena,cfragoso,jquinones,gfragoso,lfragoso,jfragoso,agallegos,ltovar
